Category,Category_Type,Education,Salary,Real Salary,Country,Population
All Employees,Total,Junior High,875.0,2049.780380673499,Taiwan,
Male,Gender,Junior High,875.0,2049.780380673499,Taiwan,
Female,Gender,Junior High,906.25,2122.98682284041,Taiwan,
Small & Medium Enterprises,Enterprise Size,Junior High,875.0,2049.780380673499,Taiwan,
Large Enterprises & Others,Enterprise Size,Junior High,937.5,2196.1932650073204,Taiwan,
"Agriculture, Forestry, Fishing & Animal Husbandry",Industry,Junior High,,,Taiwan,
Mining & Quarrying,Industry,Junior High,,,Taiwan,
Manufacturing,Industry,Junior High,875.0,2049.780380673499,Taiwan,
Electricity & Gas Supply,Industry,Junior High,,,Taiwan,
Water Supply & Waste Management,Industry,Junior High,,,Taiwan,
Construction,Industry,Junior High,875.0,2049.780380673499,Taiwan,
Wholesale & Retail Trade,Industry,Junior High,875.0,2049.780380673499,Taiwan,
Transportation & Storage,Industry,Junior High,,,Taiwan,
Accommodation & Food Service,Industry,Junior High,906.25,2122.98682284041,Taiwan,
"Publishing, Audio-Visual & Information Communication",Industry,Junior High,,,Taiwan,
Finance & Insurance,Industry,Junior High,,,Taiwan,
Real Estate,Industry,Junior High,,,Taiwan,
"Professional, Scientific & Technical Services",Industry,Junior High,,,Taiwan,
Administrative & Support Services,Industry,Junior High,875.0,2049.780380673499,Taiwan,
Public Administration & Defense; Compulsory Social Security,Industry,Junior High,,,Taiwan,
Education,Industry,Junior High,,,Taiwan,
Health Care & Social Work,Industry,Junior High,,,Taiwan,
"Arts, Entertainment & Recreation",Industry,Junior High,,,Taiwan,
Other Services,Industry,Junior High,875.0,2049.780380673499,Taiwan,
All Employees,Total,Senior High,906.25,2122.98682284041,Taiwan,
Male,Gender,Senior High,937.5,2196.1932650073204,Taiwan,
Female,Gender,Senior High,906.25,2122.98682284041,Taiwan,
Small & Medium Enterprises,Enterprise Size,Senior High,906.25,2122.98682284041,Taiwan,
Large Enterprises & Others,Enterprise Size,Senior High,968.75,2269.3997071742315,Taiwan,
"Agriculture, Forestry, Fishing & Animal Husbandry",Industry,Senior High,875.0,2049.780380673499,Taiwan,
Mining & Quarrying,Industry,Senior High,,,Taiwan,
Manufacturing,Industry,Senior High,906.25,2122.98682284041,Taiwan,
Electricity & Gas Supply,Industry,Senior High,968.75,2269.3997071742315,Taiwan,
Water Supply & Waste Management,Industry,Senior High,937.5,2196.1932650073204,Taiwan,
Construction,Industry,Senior High,906.25,2122.98682284041,Taiwan,
Wholesale & Retail Trade,Industry,Senior High,906.25,2122.98682284041,Taiwan,
Transportation & Storage,Industry,Senior High,1062.5,2489.019033674964,Taiwan,
Accommodation & Food Service,Industry,Senior High,937.5,2196.1932650073204,Taiwan,
"Publishing, Audio-Visual & Information Communication",Industry,Senior High,937.5,2196.1932650073204,Taiwan,
Finance & Insurance,Industry,Senior High,937.5,2196.1932650073204,Taiwan,
Real Estate,Industry,Senior High,906.25,2122.98682284041,Taiwan,
