Country,Category,Category_Type,Education,Salary,Population,Real Salary
Japan,All Employees,Total,Junior High,1522.0689655172414,400.0,2367.7716983156315
Japan,Male,Gender,Junior High,1586.896551724138,200.0,2468.6192468619247
Japan,Female,Gender,Junior High,1455.1724137931035,190.0,2263.705610985946
Japan,Mining & Quarrying,Industry,Junior High,,,
Japan,Manufacturing,Industry,Junior High,1452.4137931034481,160.0,2259.4142259414225
Japan,Electricity & Gas Supply,Industry,Junior High,,,
Japan,Construction,Industry,Junior High,,,
Japan,Wholesale & Retail Trade,Industry,Junior High,1646.896551724138,140.0,2561.9568715803025
Japan,Transportation & Storage,Industry,Junior High,,,
Japan,Accommodation & Food Service,Industry,Junior High,1295.8620689655172,10.0,2015.8781246647357
Japan,"Publishing, Audio-Visual & Information Communication",Industry,Junior High,,,
Japan,Finance & Insurance,Industry,Junior High,1749.655172413793,10.0,2721.810964488789
Japan,Real Estate,Industry,Junior High,1491.0344827586207,30.0,2319.4936165647464
Japan,"Professional, Scientific & Technical Services",Industry,Junior High,,,
Japan,Education,Industry,Junior High,,,
Japan,Health Care & Social Work,Industry,Junior High,,,
Japan,"Arts, Entertainment & Recreation",Industry,Junior High,1602.0689655172414,20.0,2492.2218646068022
Japan,Other Services,Industry,Junior High,,,
Japan,Combined Services,Industry,Junior High,1195.8620689655172,20.0,1860.3154168007725
Japan,All Employees,Total,Senior High,1362.0689655172414,107730.0,2118.8713657332905
Japan,Male,Gender,Senior High,1382.7586206896551,70850.0,2151.056753567214
Japan,Female,Gender,Senior High,1322.0689655172414,36880.0,2056.646282587705
Japan,Mining & Quarrying,Industry,Senior High,1402.0689655172414,50.0,2181.096448878876
Japan,Manufacturing,Industry,Senior High,1354.4827586206895,49650.0,2107.0700568608518
Japan,Electricity & Gas Supply,Industry,Senior High,1306.2068965517242,410.0,2031.9708185816974
Japan,Construction,Industry,Senior High,1411.0344827586207,12190.0,2195.043450273576
Japan,Wholesale & Retail Trade,Industry,Senior High,1333.7931034482758,11570.0,2074.884669026929
Japan,Transportation & Storage,Industry,Senior High,1412.4137931034484,6160.0,2197.1891427958376
Japan,Accommodation & Food Service,Industry,Senior High,1364.1379310344828,6470.0,2122.089904516683
Japan,"Publishing, Audio-Visual & Information Communication",Industry,Senior High,1356.551724137931,560.0,2110.288595644244
Japan,Finance & Insurance,Industry,Senior High,1268.9655172413793,880.0,1974.0371204806352
Japan,Real Estate,Industry,Senior High,1364.8275862068965,560.0,2123.1627507778135
Japan,"Professional, Scientific & Technical Services",Industry,Senior High,1335.1724137931035,4130.0,2077.0303615491903
Japan,Education,Industry,Senior High,1317.9310344827586,830.0,2050.2092050209208
Japan,Health Care & Social Work,Industry,Senior High,1357.9310344827586,6270.0,2112.4342881665057
Japan,"Arts, Entertainment & Recreation",Industry,Senior High,1357.9310344827586,1860.0,2112.4342881665057
Japan,Other Services,Industry,Senior High,1377.9310344827586,5320.0,2143.5468297392986
Japan,Combined Services,Industry,Senior High,1332.4137931034484,810.0,2072.738976504667
Japan,All Employees,Total,Junior College,1544.1379310344828,34320.0,2402.1027786718164
Japan,All Employees,Total,Junior College,1536.551724137931,80940.0,2390.3014697993776
Japan,Male,Gender,Junior College,1593.103448275862,9710.0,2478.274863212102
Japan,Male,Gender,Junior College,1512.4137931034481,29830.0,2352.7518506598003
Japan,Female,Gender,Junior College,1524.8275862068965,24610.0,2372.0630833601545
Japan,Female,Gender,Junior College,1550.344827586207,51110.0,2411.7583950219937
Japan,Mining & Quarrying,Industry,Junior College,1831.7241379310344,10.0,2849.4796695633518
Japan,Mining & Quarrying,Industry,Junior College,,,
Japan,Manufacturing,Industry,Junior College,1512.4137931034481,3960.0,2352.7518506598003
Japan,Manufacturing,Industry,Junior College,1383.4482758620688,4360.0,2152.1295998283445
Japan,Electricity & Gas Supply,Industry,Junior College,1486.896551724138,190.0,2313.0565389979615
Japan,Electricity & Gas Supply,Industry,Junior College,1469.655172413793,30.0,2286.2353824696925
Japan,Construction,Industry,Junior College,1644.1379310344828,760.0,2557.6654865357796
Japan,Construction,Industry,Junior College,1483.4482758620688,1430.0,2307.6923076923076
Japan,Wholesale & Retail Trade,Industry,Junior College,1527.5862068965516,4330.0,2376.354468404678
Japan,Wholesale & Retail Trade,Industry,Junior College,1447.5862068965516,8750.0,2251.904302113507
Japan,Transportation & Storage,Industry,Junior College,1330.344827586207,550.0,2069.520437721275
Japan,Transportation & Storage,Industry,Junior College,1567.5862068965516,1410.0,2438.579551550263
Japan,Accommodation & Food Service,Industry,Junior College,1521.3793103448277,1700.0,2366.6988520545005
Japan,Accommodation & Food Service,Industry,Junior College,1503.4482758620688,7050.0,2338.8048492651
Japan,"Publishing, Audio-Visual & Information Communication",Industry,Junior College,1597.9310344827586,1620.0,2485.7847870400174
Japan,"Publishing, Audio-Visual & Information Communication",Industry,Junior College,1493.103448275862,6600.0,2322.712155348139
Japan,Finance & Insurance,Industry,Junior College,1540.6896551724137,670.0,2396.7385473661625
Japan,Finance & Insurance,Industry,Junior College,1421.3793103448277,110.0,2211.136144190538
Japan,Real Estate,Industry,Junior College,1472.4137931034481,310.0,2290.526767514215
