Category,Category_Type,Education,Salary,Real Salary
All Employees,Total,Junior High,875.0,2049.780380673499
Male,Gender,Junior High,875.0,2049.780380673499
Female,Gender,Junior High,906.25,2122.98682284041
Small & Medium Enterprises,Enterprise Size,Junior High,875.0,2049.780380673499
Large Enterprises & Others,Enterprise Size,Junior High,937.5,2196.1932650073204
"Agriculture, Forestry, Fishing & Animal Husbandry",Industry,Junior High,,
Mining & Quarrying,Industry,Junior High,,
Manufacturing,Industry,Junior High,875.0,2049.780380673499
Electricity & Gas Supply,Industry,Junior High,,
Water Supply & Waste Management,Industry,Junior High,,
Construction,Industry,Junior High,875.0,2049.780380673499
Wholesale & Retail Trade,Industry,Junior High,875.0,2049.780380673499
Transportation & Storage,Industry,Junior High,,
Accommodation & Food Service,Industry,Junior High,906.25,2122.98682284041
"Publishing, Audio-Visual & Information Communication",Industry,Junior High,,
Finance & Insurance,Industry,Junior High,,
Real Estate,Industry,Junior High,,
"Professional, Scientific & Technical Services",Industry,Junior High,,
Administrative & Support Services,Industry,Junior High,875.0,2049.780380673499
Public Administration & Defense; Compulsory Social Security,Industry,Junior High,,
Education,Industry,Junior High,,
Health Care & Social Work,Industry,Junior High,,
"Arts, Entertainment & Recreation",Industry,Junior High,,
Other Services,Industry,Junior High,875.0,2049.780380673499
All Employees,Total,Senior High,906.25,2122.98682284041
Male,Gender,Senior High,937.5,2196.1932650073204
Female,Gender,Senior High,906.25,2122.98682284041
Small & Medium Enterprises,Enterprise Size,Senior High,906.25,2122.98682284041
Large Enterprises & Others,Enterprise Size,Senior High,968.75,2269.3997071742315
"Agriculture, Forestry, Fishing & Animal Husbandry",Industry,Senior High,875.0,2049.780380673499
Mining & Quarrying,Industry,Senior High,,
Manufacturing,Industry,Senior High,906.25,2122.98682284041
Electricity & Gas Supply,Industry,Senior High,968.75,2269.3997071742315
Water Supply & Waste Management,Industry,Senior High,937.5,2196.1932650073204
Construction,Industry,Senior High,906.25,2122.98682284041
Wholesale & Retail Trade,Industry,Senior High,906.25,2122.98682284041
Transportation & Storage,Industry,Senior High,1062.5,2489.0190336749633
Accommodation & Food Service,Industry,Senior High,937.5,2196.1932650073204
"Publishing, Audio-Visual & Information Communication",Industry,Senior High,937.5,2196.1932650073204
Finance & Insurance,Industry,Senior High,937.5,2196.1932650073204
Real Estate,Industry,Senior High,906.25,2122.98682284041
"Professional, Scientific & Technical Services",Industry,Senior High,906.25,2122.98682284041
Administrative & Support Services,Industry,Senior High,937.5,2196.1932650073204
Public Administration & Defense; Compulsory Social Security,Industry,Senior High,937.5,2196.1932650073204
Education,Industry,Senior High,906.25,2122.98682284041
Health Care & Social Work,Industry,Senior High,906.25,2122.98682284041
"Arts, Entertainment & Recreation",Industry,Senior High,906.25,2122.98682284041
Other Services,Industry,Senior High,875.0,2049.780380673499
All Employees,Total,Junior College,1000.0,2342.606149341142
Male,Gender,Junior College,1000.0,2342.606149341142
Female,Gender,Junior College,1000.0,2342.606149341142
Small & Medium Enterprises,Enterprise Size,Junior College,937.5,2196.1932650073204
Large Enterprises & Others,Enterprise Size,Junior College,1093.75,2562.225475841874
"Agriculture, Forestry, Fishing & Animal Husbandry",Industry,Junior College,,
Mining & Quarrying,Industry,Junior College,,
Manufacturing,Industry,Junior College,968.75,2269.3997071742315
Electricity & Gas Supply,Industry,Junior College,,
Water Supply & Waste Management,Industry,Junior College,,
Construction,Industry,Junior College,937.5,2196.1932650073204
Wholesale & Retail Trade,Industry,Junior College,968.75,2269.3997071742315
Transportation & Storage,Industry,Junior College,1187.5,2781.8448023426063
Accommodation & Food Service,Industry,Junior College,968.75,2269.3997071742315
"Publishing, Audio-Visual & Information Communication",Industry,Junior College,1031.25,2415.8125915080527
Finance & Insurance,Industry,Junior College,1062.5,2489.0190336749633
Real Estate,Industry,Junior College,968.75,2269.3997071742315
"Professional, Scientific & Technical Services",Industry,Junior College,968.75,2269.3997071742315
